"Name","Category","Message","Date","Expiry","Country","State","District","City","Lat","Lon","Image","URL","Affected","Dead","Injured"
"Tropical Storm Bulegila","meteorological.tropicalStorm","Tropical Storm Bulegila has swept past Timor-Leste from the South East causing widespread flooding and damage to houses, infrastructure and crops","16/04/12","01/05/12","Timor-Leste",,,,,,,,,,
"Vessoro - Flood","flood",,"17/04/12",,"Timor-Leste","Viqueque","Watulari","Babulo",-8.80058,126.57981,,,,0,0
"Samalogo - Flood","flood.flashFlood",,"17/04/12",,"Timor-Leste","Viqueque","Ossu","Uabubo",-8.72887,126.43626,,,20,0,0
"Cailetiana – Landslide","geophysical.landslide",,"17/04/12",,"Timor-Leste","Viqueque","Ossu","Builale",-8.68283,126.37154,,,,0,1
"Naibaroc – Strong Wind","wind.strongWind",,"17/04/12",,"Timor-Leste","Viqueque","Viqueque","Uma Uain Craic",-8.88336,126.37619,,,,0,0
"Ilalein – Blocked","roadway.roadwayClosure",,"17/04/12",,"Timor-Leste","Viqueque","Watulari","Afaloicai",-8.70007,126.56998,,,,0,0
"Uatodere – Blocked","roadway.roadwayClosure",,"17/04/12",,"Timor-Leste","Viqueque","Uatucarbau","Irabin de Baixo",-8.74861,126.70556,,,,0,0
"Caidabu – Flood","flood",,"17/04/12",,"Timor-Leste","Lautem","Iliomar","Fuat",-8.63494,126.84219,,,,0,0
"Batamac - Trapped","other.peopleTrapped",,"17/04/12",,"Timor-Leste","Manatuto","Laclubar","Funar",-8.75332,125.9,,,5,0,0
"Etipiti - Trapped","other.peopleTrapped",,"17/04/12",,"Timor-Leste","Lautem","Lautem","Com",-8.34144,127.02377,,,1,0,0
"Condar – Power Cut","other.powerFailure",,"17/04/12",,"Timor-Leste","Manatuto","Laclo","Umacaduac",-8.53194,125.96111,,,40,0,0
"Hatomera – Power Cut","other.powerFailure",,"17/04/12",,"Timor-Leste","Manatuto","Laclo","Hohorai",-8.60739,125.76415,,,10,0,0
"Barikafa – Landslide","geophysical.landslide",,"17/04/12",,"Timor-Leste","Lautem","Luro","Cotamutu",-8.54583,126.83087,,,,0,2
